Ax	Ay	Gx	Gy
-0,019764	-0,037292	0,032321	-0,075018
-0,019108	-0,037419	0,052666	-0,073159
-0,017740	-0,037576	0,073394	-0,070468
-0,016558	-0,037713	0,094382	-0,068377
-0,015536	-0,037830	0,114726	-0,065522
-0,014654	-0,037932	0,135146	-0,062692
-0,012926	-0,037986	0,155289	-0,058928
-0,011433	-0,038033	0,174035	-0,055240
-0,010142	-0,038074	0,192893	-0,051258
-0,009027	-0,038109	0,211198	-0,047057
-0,006871	-0,037993	0,229766	-0,042504
-0,005008	-0,037893	0,247621	-0,037575
-0,003398	-0,037806	0,265583	-0,032791
-0,002007	-0,037732	0,283456	-0,028078
0,000576	-0,037471	0,301687	-0,023227
0,002808	-0,037245	0,320028	-0,017734
0,004737	-0,037050	0,338338	-0,013492
0,006404	-0,036882	0,356331	-0,009139
0,009332	-0,036464	0,373907	-0,004980
0,011863	-0,036102	0,391428	-0,000571
0,014050	-0,035790	0,408921	0,003799
0,015941	-0,035520	0,425919	0,007739
0,019132	-0,034985	0,442689	0,012246
0,021890	-0,034523	0,459278	0,017281
0,024273	-0,034124	0,475424	0,022373
0,026333	-0,033779	0,491836	0,027479
0,029905	-0,033131	0,509112	0,032561
0,032993	-0,032572	0,526446	0,037567
0,035660	-0,032089	0,543343	0,042436
0,037966	-0,031671	0,559610	0,047928
0,039959	-0,030934	0,575639	0,053542
0,043439	-0,030298	0,591101	0,059532
0,046446	-0,029748	0,605747	0,065324
0,049045	-0,029272	0,619544	0,070673
0,051291	-0,028862	0,631974	0,075730
0,055125	-0,028096	0,644090	0,080480
0,058438	-0,027435	0,655357	0,085797
0,061302	-0,026863	0,666504	0,089921
0,063777	-0,026369	0,677223	0,094372
0,067737	-0,025614	0,687897	0,098236
0,071160	-0,024962	0,697628	0,101720
0,074119	-0,024398	0,707520	0,104424
0,076675	-0,023910	0,717262	0,107213
0,080827	-0,023121	0,726676	0,109967
0,084415	-0,022440	0,735192	0,112853
0,087515	-0,021850	0,743925	0,115148
0,090195	-0,021341	0,751726	0,117024
0,094359	-0,020516	0,758577	0,119277
0,097957	-0,019804	0,764588	0,121207
0,101067	-0,019188	0,770252	0,123724
0,103754	-0,018656	0,774841	0,125520
0,107977	-0,017820	0,778409	0,127090
0,111626	-0,017098	0,780570	0,128230
0,114780	-0,016474	0,781987	0,129016
0,117506	-0,015934	0,782686	0,130220
0,121664	-0,015188	0,782423	0,131405
0,125257	-0,014543	0,782124	0,132448
0,128363	-0,013986	0,781033	0,133023
0,131047	-0,013504	0,779657	0,133466
0,135034	-0,012774	0,777346	0,133198
0,138480	-0,012142	0,774663	0,133491
0,141458	-0,011597	0,770771	0,133075
0,144032	-0,011125	0,766756	0,131179
0,147713	-0,010503	0,763052	0,131420
0,150894	-0,009965	0,758856	0,131412
0,153644	-0,009501	0,752482	0,129055
0,156020	-0,009099	0,746974	0,126439
0,159474	-0,008465	0,741526	0,126565
0,162459	-0,007917	0,735082	0,125245
0,165039	-0,007443	0,728410	0,124159
0,167269	-0,007034	0,722626	0,124106
0,169196	-0,006373	0,716398	0,121891
0,171979	-0,005803	0,709841	0,122996
0,174384	-0,005309	0,703233	0,121311
0,176462	-0,004883	0,696240	0,121265
0,178259	-0,004515	0,687285	0,120195
0,180805	-0,003897	0,674827	0,118385
0,183007	-0,003363	0,663573	0,118555
0,184909	-0,002901	0,650050	0,116515
0,186553	-0,002502	0,639050	0,116090
0,188902	-0,001975	0,625132	0,113698
0,190933	-0,001519	0,611766	0,110365
0,192688	-0,001124	0,596816	0,106852
0,194205	-0,000784	0,582142	0,103725
0,196408	-0,000323	0,567273	0,099776
0,198311	0,000075	0,554965	0,096019
0,199956	0,000419	0,542863	0,092808
0,201378	0,000716	0,531157	0,090359
0,203082	0,001085	0,519033	0,087284
