Ax	Ay	Gx	Gy
2,926285	1,398092	-270,703583	326,714081
2,919717	1,397626	-270,879578	327,703186
2,914041	1,397224	-273,611023	330,051331
2,909135	1,396876	-273,256561	330,858887
2,906012	1,394757	-272,678711	332,099854
2,903312	1,392926	-270,821747	332,765076
2,900980	1,391344	-273,425293	332,118195
2,898963	1,389977	-274,046326	330,201569
2,889708	1,384488	-274,990326	329,902679
2,881708	1,379744	-275,127380	328,015320
2,874795	1,375644	-273,345276	326,791443
2,868820	1,372101	-274,927460	327,634277
2,865220	1,369039	-273,851257	328,769958
2,862108	1,367862	-271,563599	330,294495
2,859418	1,366844	-273,251892	328,353943
2,857094	1,365965	-273,760712	328,577393
2,855091	1,365205	-272,299896	330,942596
2,854661	1,365978	-272,394928	330,407379
2,854289	1,366646	-271,391022	329,401794
2,853968	1,367224	-273,781525	332,469604
2,853691	1,367723	-272,860901	334,713684
2,852410	1,369255	-271,522247	330,679901
2,851303	1,370580	-271,994385	334,388733
2,850346	1,371725	-271,859406	332,028137
2,849519	1,372715	-275,951141	330,802521
2,847449	1,369285	-277,179565	332,458405
2,845660	1,366321	-276,747925	332,260406
2,844114	1,363759	-273,931274	331,274780
2,842777	1,361545	-275,298157	331,780487
2,842902	1,361022	-275,800690	329,909729
2,843011	1,360571	-275,691986	330,193481
2,843104	1,360181	-273,561707	333,153839
2,843185	1,359844	-274,843018	331,911163
2,841752	1,361137	-276,086121	329,886902
2,840514	1,362255	-275,667175	330,309509
2,839443	1,363220	-276,662659	328,502686
2,838519	1,364055	-276,979950	328,434448
2,836404	1,363246	-273,724548	328,782745
2,834577	1,362547	-271,454102	329,491028
2,832997	1,361943	-275,465118	330,781921
2,831632	1,361421	-272,551117	332,033325
2,832178	1,362425	-273,290833	330,128235
2,832649	1,363294	-272,844086	333,097443
2,833057	1,364044	-273,815552	332,948456
2,833409	1,364692	-271,261230	330,240356
2,832327	1,363798	-272,176056	332,787079
2,831393	1,363024	-271,609131	333,766266
2,830585	1,362356	-267,453796	333,662231
2,829886	1,361779	-265,898895	331,400238
2,828341	1,360793	-269,306488	330,802887
2,827007	1,362062	-272,930267	332,051453
2,825853	1,363158	-271,039154	329,600861
2,824856	1,364106	-271,441101	330,605347
2,825692	1,364925	-271,652740	328,351074
2,826415	1,364163	-270,478088	330,475494
2,827040	1,363505	-270,005920	329,460663
2,827580	1,362936	-269,054840	328,447845
2,828047	1,362444	-271,083710	327,844025
2,830292	1,357747	-271,208099	323,928314
2,832233	1,353688	-273,080414	324,481079
2,833910	1,350180	-276,734894	323,058228
2,835359	1,347148	-276,906647	323,186066
2,837902	1,346185	-277,462341	325,468658
2,840100	1,345353	-276,449280	327,169861
2,842000	1,344635	-276,659790	326,468018
2,843641	1,344013	-276,027191	327,490509
2,846119	1,344950	-276,973785	327,288177
2,848261	1,345759	-276,027069	328,470856
2,850111	1,346459	-275,344604	326,777863
2,851711	1,347063	-278,963226	329,523132
2,851543	1,346252	-279,239716	327,415802
2,851397	1,345551	-276,220551	328,445404
2,851272	1,344945	-272,932495	329,335236
2,851163	1,344421	-271,448364	330,511536
2,852540	1,345767	-270,708710	331,392365
2,853729	1,346931	-272,513062	329,302765
2,854758	1,347936	-269,864075	328,990143
2,855646	1,348805	-272,869141	329,806000
2,857512	1,348192	-273,429932	331,325653
2,859126	1,347662	-275,000641	331,824463
2,860520	1,347205	-273,371490	332,255554
